section,token,pos,count
body,able,JJ,33
body,abode,NN,2
body,abominable,JJ,1
body,abominably,RB,2
body,abominate,VB,1
body,abominate,VBP,1
body,about,IN,53
body,about,RB,5
body,above,IN,15
body,above,JJ,2
body,abroad,RB,4
body,abrupt,JJ,1
body,abruptness,NN,2
body,absence,NN,11
body,absent,JJ,3
body,absolute,JJ,3
body,absolutely,RB,11
body,absurd,JJ,4
body,absurdities,NNS,1
body,absurdity,NN,1
body,abundant,JJ,1
body,abuse,NN,1
body,abused,VBD,2
body,abusing,VBG,2
body,abusive,JJ,2
body,accede,VB,1
body,acceded,VBD,1
body,acceding,VBG,1
body,accent,NN,4
body,accents,NNS,2
body,accept,VB,8
body,accept,VBP,1
body,acceptable,JJ,1
body,acceptance,NN,2
body,accepted,VBN,2
body,accepting,VBG,1
body,accidental,JJ,2
body,accidentally,RB,1
body,accompany,VB,1
body,accompanying,VBG,1
body,accomplished,JJ,1
body,accomplished,VBN,1
body,accomplishment,NN,2
body,accomplishments,NNS,1
body,according,VBG,4
body,accordingly,RB,4
body,account,NN,18
body,account,VB,4
body,accounted,VBD,1
body,accounting,NN,2
body,accounting,VBG,1
body,accusation,NN,1
body,accusations,NNS,3
body,accuse,VB,1
body,accused,VBN,2
body,accustomed,JJ,1
body,accustomed,VBN,1
body,acknowledge,VB,3
body,acknowledge,VBP,2
body,acknowledged,JJ,2
body,acknowledged,VBD,7
body,acknowledged,VBN,3
body,acknowledging,VBG,1
body,acknowledgment,NN,2
body,acknowledgments,NNS,1
body,acquaint,VB,1
body,acquaintance,NN,35
body,acquainted,VBD,1
body,acquainted,VBN,14
body,acquainting,VBG,1
body,acquiesce,VB,1
body,acquiescence,NN,1
body,acquit,VBP,1
body,acrimony,NN,1
body,across,IN,4
body,act,NN,1
body,act,VB,4
body,act,VBP,2
body,acted,VBD,5
body,actions,NNS,4
body,activity,NN,1
body,actual,JJ,4
body,actually,RB,7
body,actuated,VBN,1
body,acute,JJ,2
body,acutely,RB,3
body,acutest,JJS,1
body,adapted,VBD,1
body,adapted,VBN,1
body,add,VB,8
body,added,VBD,35
body,added,VBN,5
body,adding,VBG,2
body,addition,NN,6
body,additional,JJ,2
body,additions,NNS,1
body,address,NN,9
body,address,VB,1
body,addressed,VBD,1
body,addressed,VBN,2
body,addresses,NNS,2
body,addressing,VBG,1
body,adds,VBZ,2
body,adequate,JJ,1
body,adieu,NN,2
body,adieus,NN,2
body,admirable,JJ,2
body,admiration,NN,9
body,admire,VB,3
body,admire,VBP,4
body,admired,VBD,2
body,admirer,NN,2
body,admiring,VBG,1
body,admission,NN,1
body,admit,VB,5
body,admittance,NN,1
body,admitted,VBD,1
body,admitted,VBN,3
body,adopt,VB,2
body,adopted,VBN,1
body,adoration,NN,1
body,adorned,VBN,2
body,advance,VB,1
body,advanced,VBD,3
body,advanced,VBN,1
body,advancement,NN,1
body,advantage,NN,15
body,advantageous,JJ,1
body,advantageously,RB,2
body,advantages,NNS,3
