section,token,pos,count
body,52.1,CD,1
body,520,CD,6
body,521,CD,2
body,"521,522",CD,1
body,"521,525,526",CD,1
body,522,CD,3
body,523,CD,4
body,524,CD,5
body,"524,525,526,527,528",CD,1
body,525,CD,9
body,"525,526",CD,1
body,526,CD,6
body,"526,000,000",CD,1
body,526-527,CD,1
body,527,CD,4
body,"527,528,530",CD,1
body,528,CD,1
body,"528,000",CD,1
body,"528,531",CD,1
body,529,CD,13
body,53,CD,4
body,53-56,CD,1
body,530,CD,6
body,531,CD,4
body,532,CD,3
body,533,CD,4
body,534,CD,2
body,"534,537",CD,1
body,535,CD,1
body,536,CD,1
body,537,CD,5
body,538,CD,3
body,539,CD,2
body,539-540,CD,1
body,54,CD,1
body,"54,000",CD,1
body,540,CD,4
body,"540,542,544,557",CD,1
body,541,CD,3
body,542,CD,3
body,543,CD,5
body,544,CD,3
body,545,CD,1
body,546,CD,2
body,546-547,CD,1
body,546-548,CD,2
body,547,CD,2
body,548,CD,2
body,549,CD,1
body,55,CD,4
body,"55,140",CD,1
body,550,CD,1
body,551,CD,4
body,552,CD,3
body,"552,000",CD,1
body,553,CD,2
body,554,CD,1
body,555,CD,4
body,556,CD,2
body,"556,110",CD,1
body,557,CD,2
body,56,CD,3
body,"56,000,000",CD,1
body,"56,134,000",CD,1
body,"56,200,000,000",CD,1
body,561,CD,2
body,562,CD,1
body,563,CD,2
body,565,CD,1
body,566,CD,2
body,567,CD,2
body,568,CD,4
body,569,CD,1
body,57,CD,6
body,57-58,CD,1
body,57-60,CD,1
body,570,CD,1
body,571,CD,1
body,"571,000,000",CD,1
body,572,CD,1
body,573,CD,3
body,574,CD,1
body,576,CD,1
body,577,CD,1
body,578,CD,1
body,579,CD,3
body,58,CD,2
body,581,CD,5
body,583,CD,1
body,585,CD,1
body,"587,000",CD,1
body,588,CD,1
body,589,CD,2
body,59,CD,2
body,"59,191,000",CD,2
body,591,CD,1
body,592,CD,3
body,595,CD,1
body,596,CD,3
body,597,CD,1
body,598,CD,1
body,599,CD,3
body,59a,NN,1
body,5:15,CD,2
body,5:20,CD,1
body,5:30,CD,5
body,5th,NN,1
body,6,CD,40
body,"6,000,000",CD,3
body,"6,1937",CD,4
body,"6,1938",CD,8
body,"6,1939",CD,1
body,"6,534.0",CD,1
body,"6,7",CD,1
body,6.4,CD,2
body,6.9,CD,1
body,60,CD,21
body,"60,000",CD,2
body,"60,401",CD,1
body,600,CD,4
body,"600,000",CD,4
body,6000,CD,3
body,601,CD,1
body,602,CD,1
body,603,CD,1
body,604,CD,1
body,605,CD,1
body,609,CD,3
body,61,CD,7
body,"61,141",CD,1
body,"61,62,65,270,372,373",CD,1
body,61-62,CD,1
body,610,CD,2
body,611,CD,1
body,613,CD,2
body,615,CD,2
body,"615,700",CD,1
body,617,CD,1
body,618,CD,2
body,619,CD,1
body,62,CD,2
body,"62,127",CD,1
body,621,CD,1
body,623,CD,1
body,625,CD,2
body,627,CD,3
body,"627,000",CD,1
